,date,No plate
0,Thu Jul  8 15:41:10 2021,"KL 55 R 2473

,date,No plate
0,Thu Jul  8 15:41:28 2021,DL 7C N 5617"
,,
,date,No plate
0,Thu Jul  8 15:42:57 2021," '™N74AH1413:

,date,No plate
0,Thu Jul  8 15:43:20 2021,TW7LF 3339}"
,,
,date,No plate
0,Thu Jul  8 15:43:44 2021,"GJW-1-15-A-1138

,date,No plate
0,Thu Jul  8 15:44:02 2021,‘DL 12 CG 6648"
,,
,date,No plate
0,Thu Jul  8 15:44:24 2021," 
"
,date,No plate
0,Thu Jul  8 15:44:40 2021,"AMHO3BS 7778
"
,date,No plate
0,Thu Jul  8 15:45:05 2021,KL 01 KL KL01
,,
,date,No plate
0,Thu Jul  8 15:46:34 2021,"KLOTK,

,date,No plate
0,Thu Jul  8 15:48:14 2021,TNO7BYS200)"
,,
,date,No plate
0,Thu Jul  8 15:49:22 2021,"MH 20 EE 7597.

,date,No plate
0,Thu Jul  8 15:49:39 2021, KA 21 M 5977"
,,
,date,No plate
0,Thu Jul  8 15:51:10 2021,"HR 26 BR 9044,

,date,No plate
0,Thu Jul  8 15:51:26 2021, KL 16 J 3636"
,,
,date,No plate
0,Thu Jul  8 15:52:36 2021," MH 34 TY 6789

,date,No plate
0,Thu Jul  8 16:00:12 2021,~KLO7BF5000"
,,
,date,No plate
0,Thu Jul  8 16:01:57 2021,"TT 45 ER 567

,date,No plate
0,Thu Jul  8 16:02:53 2021,""MH 13 GH 4348 |"
,,
,date,No plate
0,Thu Jul  8 16:03:49 2021," MHO4DW8351


,date,No plate
0,Thu Jul  8 16:07:11 2021, DL 12 C 3536"
,,
,date,No plate
0,Thu Jul  8 16:10:26 2021,MH 02 AJ 344
,,
,date,No plate
0,Thu Jul  8 16:14:31 2021,"""MH 15BD9677|

,date,No plate
0,Thu Jul  8 16:15:06 2021, JK 43 BN 346"
,,
0,Thu Jul  8 16:16:28 2021,"™N52U 1580

,date,No plate
0,Thu Jul  8 16:16:49 2021,KL 01 AU585

,date,No plate
0,Thu Jul  8 16:17:40 2021, GJ 56 YU678"
,,
,date,No plate
0,Thu Jul  8 16:18:04 2021, ER 43 TR456
,,
,date,No plate
0,Thu Jul  8 16:19:40 2021,"MHO1KE8017

,date,No plate
0,Thu Jul  8 16:21:02 2021,TNO9CH 77"
,,
,date,No plate
0,Thu Jul  8 16:21:34 2021," KL 43 B,

date,No plate
0,Thu Jul  8 16:24:49 2021,AP 02 BP 2454;"
,,
0,Thu Jul  8 16:27:49 2021,"HR 99 HA (TEMP) 4575 |

date,No plate
0,Thu Jul  8 16:29:34 2021, HR 26 DA 2330!"
,,
,date,No plate
0,Thu Jul  8 16:33:52 2021,"HP :SX 4000

date,No plate
0,Thu Jul  8 16:33:52 2021,HR26 BP3543"
,,
,date,No plate
0,Thu Jul  8 16:33:52 2021,"KL 10 AV 6342

date,No plate
0,Thu Jul  8 16:33:52 2021,HR 26 U 7501"
,,
,date,No plate
0,Thu Jul  8 16:33:52 2021,"KL 10 AV 6342

date,No plate
0,Thu Jul  8 16:33:52 2021,KL 10 AV 6342"
,,
,date,No plate
0,Thu Jul  8 16:33:52 2021,"KL 10 AV 6342

,date,No plate
0,Thu Jul  8 16:26:47 2021,HR 99 HA (TER) 4575 |"
,,
,date,No plate
0,Thu Jul  8 16:28:40 2021,"HR 26 DA 2330!

,date,No plate
0,Thu Jul  8 16:31:19 2021, RT 56 DF 456"
,,
,date,No plate
0,Thu Jul  8 16:31:36 2021,"HP: SX 4666

,date,No plate
0,Thu Jul  8 16:32:59 2021,HR26 BP3543"
,,
,date,No plate
0,Thu Jul  8 16:41:17 2021,"HR 26 CT 6702

,date,No plate
0,Thu Jul  8 16:45:39 2021,HR 26 CT 6702"
,,
,date,No plate
0,Thu Jul  8 16:59:34 2021,"KA GH6989

,date,No plate
0,Thu Jul  8 17:00:08 2021,MH 20 EE 0943)"
,,
,date,No plate
0,Thu Jul  8 17:05:31 2021,"TN 45BA 1065

,date,No plate
0,Thu Jul  8 17:06:08 2021,KL 54 H 369

,date,No plate
0,Thu Jul  8 17:07:54 2021,“KAO3NA8385"
,,
,date,No plate
0,Thu Jul  8 17:08:59 2021,"MH 14DT8831:

,date,No plate
0,Thu Jul  8 17:09:47 2021,-MH12JC28 13}"
,,
,date,No plate
0,Thu Jul  8 17:11:10 2021,
,,
,date,No plate
0,Thu Jul  8 17:11:32 2021,"MH14EU3498

,date,No plate
0,Thu Jul  8 17:11:49 2021,~KA 29 Z 999:"
,,
,,
,date,No plate
0,Thu Jul  8 17:13:29 2021,"HR 26 DA 0471

,date,No plate
0,Thu Jul  8 17:14:29 2021,HR 26 CT 6702"
,,
,,
,date,No plate
0,Thu Jul  8 17:15:45 2021,"WOBeNP 306

,date,No plate
0,Thu Jul  8 17:16:21 2021,MH 20 BN 3525"
,,
,date,No plate
0,Thu Jul  8 17:20:31 2021,"HR 11F 7575


,date,No plate
0,Thu Jul  8 17:21:15 2021,TN21 AT.0480"
,,
,date,No plate
0,Thu Jul  8 17:22:27 2021," MH03 CB6467,

,date,No plate
0,Thu Jul  8 17:22:57 2021,KL 63C 8800)"
,,
,date,No plate
0,Thu Jul  8 17:27:01 2021,"TN 19 H 3322,

"
